"#","Seq.","Album","Song","Spotify total","Spotify daily","AOD total"
"69","150","Lyfë","Can’t stop it","20,675,322","10,190","38,348,814"
"54","180","AftërLyfe","Shmunk (feat. YoungBoy Never Broke Again)","29,063,338","10,065","53,906,999"
"135","193","2093","2093","9,086,377","10,036","16,853,512"
"70","128","2 Alivë","Luh gëek","20,458,657","9,912","37,946,942"
"143","203","2093","Mr. Inbetweenit","8,739,312","9,806","16,209,772"
"147","208","2093","Psychocainë","8,311,716","9,276","15,416,662"
"149","209","2093","Riot & Set it off","8,065,061","9,001","14,959,163"
"150","200","2093","Keep Pushin","8,014,163","8,915","14,864,757"
"96","127","2 Alivë","Kant dië","13,995,004","8,589","25,958,087"
"99","153","Lyfë","Got it all","13,031,252","8,483","24,170,509"
"115","166","AftërLyfe","Back homë","11,147,374","8,439","20,676,271"
"80","13","Up 2 Më","Morning mudd","17,073,245","8,421","31,667,642"
"84","117","No Handoutz","No Handoutz (feat. Yeat)","15,978,799","8,173","30,847,870"
"89","15","Up 2 Më","Stayëd tha same","14,813,739","8,009","27,476,686"
"87","186","AftërLyfe","Woa...!","15,493,625","7,936","28,737,746"
"81","41","4L","Tëslas & Rovers","16,836,765","7,849","31,229,016"
"95","138","2 Alivë","Smooktobër","14,049,044","7,740","26,058,321"
"76","113","Alivë","WAR 1","17,826,856","7,698","33,065,448"
"113","5","Up 2 Më","Factz","11,251,055","7,524","20,868,580"
"90","183","AftërLyfe","Sum 2 do","14,318,521","7,410","26,558,150"
"82","181","AftërLyfe","Slamm","16,288,690","7,392","30,212,441"
"86","98","Alivë","Bäk 2 BED","15,896,662","7,361","29,485,303"
"91","146","2 Alivë","Luv monëy (with Lancey Foux)","14,281,274","7,203","26,489,064"
"102","168","AftërLyfe","Bad bënd / DëMON","12,986,898","7,148","24,088,241"
"52","93","Trëndi","Tonka 2","30,494,481","7,143","56,561,498"
